"Variable","MeanDecreaseAccuracy","SD_MDA"
"DBAS_Medications",21.61813615671,7.7970223454587
"age",3.26483269693822,3.97416596594121
"SURPS_Anxiety_Sensitivity",2.77970664332939,3.96487074015286
"Neuroticism",2.16303233623734,3.75753008758736
"gender",1.12006662402018,3.14318184536078
"sex",0.957020037882602,2.23397824911209
"SURPS_Hopelessness",0.913165533967502,4.08599659968927
"driving_freq",0.844834766540885,4.28603803767986
"phq2_score",0.461384803147902,4.28064302226175
"osss_3_score",0.222211425849077,3.38555684981886
"region",-0.114663592045985,3.89381570005413
"employment_status",-0.156353688801444,4.05061219111978
"CISS_Emotion",-0.444460432519815,3.452307688961
"education_level",-0.475829251531682,2.57041631912419
"income",-0.719686424877328,2.55095346899013
