"Variable","Value"
"age","73.3 (6.1)"
"sex",NA
"education","1: 3 (0.8%); 2: 7 (1.8%); 3: 74 (18.6%); 4: 122 (30.7%); 5: 191 (48.1%)"
"income","1: 3 (0.8%); 2: 43 (10.8%); 3: 72 (18.1%); 4: 106 (26.7%); 5: 173 (43.6%)"
"employment","0: 365 (91.9%); 1: 8 (2.0%); 2: 21 (5.3%); 4: 3 (0.8%)"
"driving_freq","0: 20 (5.0%); 1: 29 (7.3%); 2: 116 (29.2%); 3: 232 (58.4%)"
"DBAS_Medications","5.6 (2.0)"
"DBAS_Consequences","5.6 (2.2)"
"CISS_Emotion","2.8 (0.8)"
"SURPS_Hopelessness","2.0 (0.5)"
"SURPS_Anxiety_Sensitivity","2.6 (0.5)"
"BFI_Openness","3.5 (1.0)"
"BFI_Extraversion","3.2 (1.0)"
"BFI_Neuroticism","2.9 (1.1)"
"dependence_2","1: 24 (6.0%); 2: 95 (23.9%); 3: 34 (8.6%); 4: 182 (45.8%); 5: 62 (15.6%)"
"side_effects_1","1: 83 (20.9%); 2: 180 (45.3%); 3: 35 (8.8%); 4: 80 (20.2%); 5: 19 (4.8%)"
"n_sleep_conditions","1.4 (0.7)"
"phq2_score","1.4 (1.6)"
"osss_3_score","10.2 (2.3)"
"med_quant","6.4 (3.9)"
