"","Overall"
"n","  397"
"age (median [IQR])","72.00 [68.00, 77.00]"
"sex = 1 (%)","  142 (35.8) "
"education (%)","  "
"   1","    3 ( 0.8) "
"   2","    7 ( 1.8) "
"   3","   74 (18.6) "
"   4","  122 (30.7) "
"   5","  191 (48.1) "
"income (%)","  "
"   1","    3 ( 0.8) "
"   2","   43 (10.8) "
"   3","   72 (18.1) "
"   4","  106 (26.7) "
"   5","  173 (43.6) "
"employment (%)","  "
"   0","  365 (91.9) "
"   1","    8 ( 2.0) "
"   2","   21 ( 5.3) "
"   4","    3 ( 0.8) "
"driving_freq (%)","  "
"   0","   20 ( 5.0) "
"   1","   29 ( 7.3) "
"   2","  116 (29.2) "
"   3","  232 (58.4) "
"DBAS_Medications (mean (SD))"," 5.63 (2.00)"
"DBAS_Consequences (mean (SD))"," 5.57 (2.18)"
"CISS_Emotion (mean (SD))"," 2.80 (0.82)"
"SURPS_Hopelessness (mean (SD))"," 2.02 (0.50)"
"SURPS_Anxiety_Sensitivity (mean (SD))"," 2.61 (0.51)"
"BFI_Openness (mean (SD))"," 3.51 (0.95)"
"BFI_Extraversion (mean (SD))"," 3.16 (1.05)"
"BFI_Neuroticism (mean (SD))"," 2.95 (1.07)"
"dependence_2 (%)","  "
"   1","   24 ( 6.0) "
"   2","   95 (23.9) "
"   3","   34 ( 8.6) "
"   4","  182 (45.8) "
"   5","   62 (15.6) "
"side_effects_1 (%)","  "
"   1","   83 (20.9) "
"   2","  180 (45.3) "
"   3","   35 ( 8.8) "
"   4","   80 (20.2) "
"   5","   19 ( 4.8) "
"n_sleep_conditions (mean (SD))"," 1.43 (0.68)"
"phq2_score (median [IQR])"," 1.00 [0.00, 2.00]"
"osss_3_score (median [IQR])","10.00 [9.00, 12.00]"
"med_quant (median [IQR])"," 6.00 [4.00, 8.00]"
