"","Overall","0","1","p","test","SMD"
"n","  397","  304","   93","","",""
"age (median [IQR])","72.00 [68.00, 77.00]","73.00 [69.00, 77.25]","71.00 [68.00, 77.00]"," 0.089","nonnorm"," 0.177"
"sex = 1 (%)","  142 (35.8) ","  113 (37.2) ","   29 (31.2) "," 0.352",""," 0.127"
"education (%)","  ","  ","   "," 0.445",""," 0.264"
"   1","    3 ( 0.8) ","    2 ( 0.7) ","    1 ( 1.1) ","","",""
"   2","    7 ( 1.8) ","    7 ( 2.3) ","    0 ( 0.0) ","","",""
"   3","   74 (18.6) ","   60 (19.7) ","   14 (15.1) ","","",""
"   4","  122 (30.7) ","   90 (29.6) ","   32 (34.4) ","","",""
"   5","  191 (48.1) ","  145 (47.7) ","   46 (49.5) ","","",""
"income (%)","  ","  ","   "," 0.923",""," 0.112"
"   1","    3 ( 0.8) ","    2 ( 0.7) ","    1 ( 1.1) ","","",""
"   2","   43 (10.8) ","   33 (10.9) ","   10 (10.8) ","","",""
"   3","   72 (18.1) ","   54 (17.8) ","   18 (19.4) ","","",""
"   4","  106 (26.7) ","   79 (26.0) ","   27 (29.0) ","","",""
"   5","  173 (43.6) ","  136 (44.7) ","   37 (39.8) ","","",""
"employment (%)","  ","  ","   "," 0.251",""," 0.229"
"   0","  365 (91.9) ","  281 (92.4) ","   84 (90.3) ","","",""
"   1","    8 ( 2.0) ","    4 ( 1.3) ","    4 ( 4.3) ","","",""
"   2","   21 ( 5.3) ","   16 ( 5.3) ","    5 ( 5.4) ","","",""
"   4","    3 ( 0.8) ","    3 ( 1.0) ","    0 ( 0.0) ","","",""
"driving_freq (%)","  ","  ","   "," 0.786",""," 0.123"
"   0","   20 ( 5.0) ","   16 ( 5.3) ","    4 ( 4.3) ","","",""
"   1","   29 ( 7.3) ","   21 ( 6.9) ","    8 ( 8.6) ","","",""
"   2","  116 (29.2) ","   92 (30.3) ","   24 (25.8) ","","",""
"   3","  232 (58.4) ","  175 (57.6) ","   57 (61.3) ","","",""
"DBAS_Medications (mean (SD))"," 5.63 (2.00)"," 5.91 (1.85)"," 4.69 (2.20)","<0.001",""," 0.603"
"DBAS_Consequences (mean (SD))"," 5.57 (2.18)"," 5.60 (2.20)"," 5.46 (2.14)"," 0.581",""," 0.066"
"CISS_Emotion (mean (SD))"," 2.80 (0.82)"," 2.82 (0.82)"," 2.71 (0.80)"," 0.257",""," 0.135"
"SURPS_Hopelessness (mean (SD))"," 2.02 (0.50)"," 2.03 (0.48)"," 1.98 (0.54)"," 0.360",""," 0.105"
"SURPS_Anxiety_Sensitivity (mean (SD))"," 2.61 (0.51)"," 2.63 (0.49)"," 2.56 (0.55)"," 0.249",""," 0.132"
"BFI_Openness (mean (SD))"," 3.51 (0.95)"," 3.47 (0.92)"," 3.63 (1.06)"," 0.155",""," 0.162"
"BFI_Extraversion (mean (SD))"," 3.16 (1.05)"," 3.09 (1.04)"," 3.40 (1.02)"," 0.010",""," 0.308"
"BFI_Neuroticism (mean (SD))"," 2.95 (1.07)"," 2.92 (1.09)"," 3.05 (1.01)"," 0.279",""," 0.131"
"dependence_2 (%)","  ","  ","   "," 0.070",""," 0.345"
"   1","   24 ( 6.0) ","   15 ( 4.9) ","    9 ( 9.7) ","","",""
"   2","   95 (23.9) ","   68 (22.4) ","   27 (29.0) ","","",""
"   3","   34 ( 8.6) ","   23 ( 7.6) ","   11 (11.8) ","","",""
"   4","  182 (45.8) ","  146 (48.0) ","   36 (38.7) ","","",""
"   5","   62 (15.6) ","   52 (17.1) ","   10 (10.8) ","","",""
"side_effects_1 (%)","  ","  ","   "," 0.002",""," 0.442"
"   1","   83 (20.9) ","   65 (21.4) ","   18 (19.4) ","","",""
"   2","  180 (45.3) ","  148 (48.7) ","   32 (34.4) ","","",""
"   3","   35 ( 8.8) ","   26 ( 8.6) ","    9 ( 9.7) ","","",""
"   4","   80 (20.2) ","   57 (18.8) ","   23 (24.7) ","","",""
"   5","   19 ( 4.8) ","    8 ( 2.6) ","   11 (11.8) ","","",""
"n_sleep_conditions (mean (SD))"," 1.43 (0.68)"," 1.45 (0.67)"," 1.37 (0.72)"," 0.311",""," 0.118"
"phq2_score (median [IQR])"," 1.00 [0.00, 2.00]"," 1.00 [0.00, 2.00]"," 1.00 [0.00, 2.00]"," 0.637","nonnorm"," 0.022"
"osss_3_score (median [IQR])","10.00 [9.00, 12.00]","10.00 [9.00, 12.00]","10.00 [9.00, 12.00]"," 0.888","nonnorm"," 0.034"
"med_quant (median [IQR])"," 6.00 [4.00, 8.00]"," 6.00 [4.00, 9.00]"," 5.00 [3.00, 7.00]"," 0.057","nonnorm"," 0.302"
