"Variable","Family","P_Value","P_FDR","Significant_Uncorrected","Significant_FDR"
"capability","Behavioral",2.83819971733668e-06,1.27849771452397e-05,"Yes","Yes"
"capability_1","Behavioral",3.19624428630993e-06,1.27849771452397e-05,"Yes","Yes"
"motivation_1","Behavioral",0.00123674208705199,0.00329797889880531,"Yes","Yes"
"motivation_2","Behavioral",0.00744507033825747,0.0148901406765149,"Yes","Yes"
"desires_1","Behavioral",0.0220757663871729,0.0353212262194766,"Yes","Yes"
"desires_3","Behavioral",0.0281663614670995,0.0375551486227993,"Yes","Yes"
"desires_2","Behavioral",0.23813412235043,0.260239533860911,"No","No"
"motivation_3","Behavioral",0.260239533860911,0.260239533860911,"No","No"
"med_quant","Clinical",0.00765177270807333,0.0612141816645867,"Yes","No"
"gen_health","Clinical",0.184907546226887,0.739630184907546,"No","No"
"n_sleep_conditions","Clinical",0.330933050377311,0.85733538112902,"No","No"
"n_health_conditions","Clinical",0.548963625412127,0.85733538112902,"No","No"
"n_physical_conditions","Clinical",0.671866604950581,0.85733538112902,"No","No"
"osss_3_score","Clinical",0.777358191594546,0.85733538112902,"No","No"
"phq2_score","Clinical",0.855873351399569,0.85733538112902,"No","No"
"n_ment_conditions","Clinical",0.85733538112902,0.85733538112902,"No","No"
"age","Demographics",0.138852084905066,0.619190404797601,"No","No"
"employment","Demographics",0.27736131934033,0.619190404797601,"No","No"
"sex","Demographics",0.35202104423371,0.619190404797601,"No","No"
"education","Demographics",0.412793603198401,0.619190404797601,"No","No"
"income","Demographics",0.845077461269365,0.903143879647734,"No","No"
"driving_freq","Demographics",0.903143879647734,0.903143879647734,"No","No"
"DBAS_Medications","Personality",2.21422755246714e-08,3.54276408394743e-07,"Yes","Yes"
"BFI_Extraversion","Personality",0.0116238754483315,0.0929910035866518,"Yes","No"
"BFI_Openness","Personality",0.137161330686235,0.731527096993255,"No","No"
"CISS_Emotion","Personality",0.186748015619811,0.742620140051039,"No","No"
"DBAS_Worry_Helplessness","Personality",0.23206879376595,0.742620140051039,"No","No"
"BFI_Agreeableness","Personality",0.311642408977886,0.752163188089801,"No","No"
"SURPS_Anxiety_Sensitivity","Personality",0.353363278209674,0.752163188089801,"No","No"
"DBAS_Consequences","Personality",0.3760815940449,0.752163188089801,"No","No"
"SURPS_Sensation_Seeking","Personality",0.491149548460823,0.771356772970998,"No","No"
"SURPS_Impulsivity","Personality",0.498564931537404,0.771356772970998,"No","No"
"BFI_Neuroticism","Personality",0.544405452483782,0.771356772970998,"No","No"
"CISS_Task","Personality",0.578517579728249,0.771356772970998,"No","No"
"SURPS_Hopelessness","Personality",0.644252392033955,0.77206529991619,"No","No"
"CISS_Avoidance","Personality",0.675557137426666,0.77206529991619,"No","No"
"BFI_Conscientiousness","Personality",0.9340665945299,0.989164428665039,"No","No"
"DBAS_Expectations","Personality",0.989164428665039,0.989164428665039,"No","No"
"wdl_symptom_count","Sleep_Adverse",1.20100105986928e-24,2.28190201375163e-23,"Yes","Yes"
"stop_wdl_exp_combined","Sleep_Adverse",0.000499750124937531,0.00474762618690655,"Yes","Yes"
"side_effects_1","Sleep_Adverse",0.00835693044370434,0.0529272261434608,"Yes","No"
"adls_1","Sleep_Adverse",0.0124937531234383,0.0593453273363318,"Yes","No"
"safety_4","Sleep_Adverse",0.0172632755873909,0.0656004472320855,"Yes","No"
"safety_1","Sleep_Adverse",0.0239880059970015,0.0759620189905047,"Yes","No"
"side_effects_2","Sleep_Adverse",0.0292780848394819,0.0771489255372314,"Yes","No"
"adls_2","Sleep_Adverse",0.0324837581209395,0.0771489255372314,"Yes","No"
"side_effects_4","Sleep_Adverse",0.0439633065678871,0.0928114249766505,"Yes","No"
"melatonin_use","Sleep_Adverse",0.0694652673663168,0.131984007996002,"No","No"
"side_effects_3","Sleep_Adverse",0.182408795602199,0.315069737858344,"No","No"
"safety_2","Sleep_Adverse",0.263677038133243,0.417488643710968,"No","No"
"dependence_2","Sleep_Adverse",0.40460171583566,0.591340969298272,"No","No"
"dependence_1","Sleep_Adverse",0.466454500555506,0.633045393611044,"No","No"
"alc_sleep","Sleep_Adverse",0.608195902048976,0.770381475928702,"No","No"
"dependence_3","Sleep_Adverse",0.731814308585981,0.869029491445852,"No","No"
"safety_3","Sleep_Adverse",0.802598700649675,0.897022077196696,"No","No"
"can_sleep","Sleep_Adverse",0.96151924037981,1,"No","No"
"op_sleep","Sleep_Adverse",1,1,"No","No"
