"Family","Variable","P_Value","P_FDR"
"Sleep_Adverse","wdl_symptom_count",1.20100105986928e-24,2.28190201375163e-23
"Personality","DBAS_Medications",2.21422755246714e-08,3.54276408394743e-07
"Behavioral","capability",2.83819971733668e-06,1.27849771452397e-05
"Behavioral","capability_1",3.19624428630993e-06,1.27849771452397e-05
"Behavioral","motivation_1",0.00123674208705199,0.00329797889880531
"Sleep_Adverse","stop_wdl_exp_combined",0.000499750124937531,0.00474762618690655
"Behavioral","motivation_2",0.00744507033825747,0.0148901406765149
"Behavioral","desires_1",0.0220757663871729,0.0353212262194766
"Behavioral","desires_3",0.0281663614670995,0.0375551486227993
"Sleep_Adverse","side_effects_1",0.00835693044370434,0.0474762618690655
"Sleep_Adverse","adls_1",0.00999500249875063,0.0474762618690655
