"Interaction","Theory","Estimate","SE","OR","P_Value","Significant","Type"
"DBAS_Medications × sex","Medication beliefs differ by sex",-0.259540907129147,0.156192251071954,0.771405651357936,0.0965777658728919,FALSE,"Personality × Demographics"
"DBAS_Worry_Helplessness × osss_3_score","Social support buffers worry/helplessness",-0.03658387548171,0.0253896637194103,0.964077228063132,0.149613948489355,FALSE,"Personality × Contextual"
"BFI_Conscientiousness × n_health_conditions","Conscientiousness moderates health burden",0.0772139420980733,0.0562934053996006,1.08027316757962,0.170177441115728,FALSE,"Personality × Clinical"
"BFI_Neuroticism × DBAS_Consequences","Neuroticism moderates consequence beliefs",-0.104855892785244,0.0806348008770578,0.900454275194511,0.193470716937092,FALSE,"Personality × Personality"
"BFI_Conscientiousness × phq2_score","Depression moderates conscientiousness effects",0.13468488798047,0.110634920995018,1.14417618387153,0.223459160684791,FALSE,"Personality × Contextual"
"DBAS_Consequences × sex","Consequence beliefs differ by sex",-0.166652466771395,0.165296840266406,0.846493744927798,0.313357899194831,FALSE,"Personality × Demographics"
"CISS_Emotion × phq2_score","Emotion-focused coping interacts with depression",0.15578939641167,0.154796566671829,1.16858007001653,0.314216571951984,FALSE,"Personality × Clinical"
"BFI_Extraversion × age","Extraversion effect varies by age",0.0249483872765786,0.0261998482751727,1.02526220258432,0.340978302928269,FALSE,"Personality × Demographics"
"BFI_Extraversion × sex","Extraversion effect differs by sex",0.293057160636028,0.309350057266769,1.34051941318402,0.343469708346332,FALSE,"Personality × Demographics"
"DBAS_Consequences × age","Consequence beliefs vary by age",0.0138642164614789,0.0147072463531936,1.01396077040946,0.345844972637358,FALSE,"Personality × Demographics"
"BFI_Neuroticism × n_health_conditions","Neuroticism moderates health burden effects",0.0386639688999723,0.0459161594535635,1.03942114712802,0.399756714077014,FALSE,"Personality × Clinical"
"BFI_Conscientiousness × DBAS_Medications","Conscientiousness moderates med beliefs",0.0617845802892541,0.0898001628857754,1.06373317095265,0.491438277905718,FALSE,"Personality × Personality"
"DBAS_Consequences × n_health_conditions","Health burden moderates consequence beliefs",0.0180102676589771,0.0263837626933247,1.01817343059369,0.494842595254293,FALSE,"Personality × Clinical"
"DBAS_Consequences × DBAS_Medications","Consequence beliefs interact with med beliefs",0.0263511544288612,0.0393286258741797,1.02670141592919,0.502841985121642,FALSE,"Personality × Personality"
"DBAS_Medications × age","Medication beliefs vary by age",0.0100615672386957,0.0162484163510911,1.01011235499825,0.535762403453055,FALSE,"Personality × Demographics"
"DBAS_Worry_Helplessness × DBAS_Medications","Worry interacts with med beliefs",0.0195696143405663,0.0327670933132701,1.01976235447359,0.55035132242633,FALSE,"Personality × Personality"
"CISS_Emotion × osss_3_score","Social support moderates emotion-focused coping",0.0533636056113326,0.0932100571263087,1.05481311136609,0.566977124825624,FALSE,"Personality × Contextual"
"BFI_Extraversion × phq2_score","Extraversion moderates depression effects",-0.0496136599666048,0.0963988039949314,0.951596993507081,0.606783006066901,FALSE,"Personality × Clinical"
"BFI_Neuroticism × phq2_score","Neuroticism moderates depression effects",-0.0501816627887877,0.0978077748224252,0.951056637205668,0.607906448351001,FALSE,"Personality × Clinical"
"BFI_Extraversion × osss_3_score","Social support moderates extraversion effects",0.0274940042980054,0.0556455357843466,1.02787545225388,0.621241331455312,FALSE,"Personality × Contextual"
"SURPS_Anxiety_Sensitivity × phq2_score","Depression moderates anxiety sensitivity",-0.101359347278279,0.218912168740364,0.903608265366407,0.643354501126605,FALSE,"Personality × Contextual"
"BFI_Extraversion × DBAS_Medications","Extraverts have different med beliefs",-0.0258758855863601,0.0746824893713444,0.974456026141913,0.72898305182381,FALSE,"Personality × Personality"
"DBAS_Worry_Helplessness × phq2_score","Worry/helplessness interacts with depression",-0.0110457576768383,0.0412628812761863,0.989015022710173,0.788936138419942,FALSE,"Personality × Clinical"
"BFI_Neuroticism × osss_3_score","Social support buffers neuroticism",0.0104682449138557,0.0545434654592179,1.01052322868334,0.847801093523273,FALSE,"Personality × Contextual"
