"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 1: Demographics","(Intercept)",1.26637681593739,1.56677306276258,3.54797428237992,0.164556979785658,76.4970378334962,0.808270735587244,0.419437124885237,""
"Model 1: Demographics","age",-0.0313155973786242,0.0210418286576959,0.969169657402155,0.930012193576965,1.00997581678619,-1.48825455658155,0.137504276090647,""
"Model 1: Demographics","sex",-0.250375146395859,0.262052177923231,0.778508673559884,0.465800701684679,1.30114822200987,-0.955440051596167,0.339955571726014,""
"Model 1: Demographics","income.L",-0.435612013515586,0.821783327060811,0.646868653548798,0.129211157299515,3.23841271674458,-0.530081347687591,0.596370658830665,""
"Model 1: Demographics","income.Q",0.1991327754952,0.702857437566928,1.2203439869206,0.307749911300798,4.83912226040471,0.283318870729369,0.777090207296011,""
"Model 1: Demographics","income.C",-0.313273695635311,0.485608739950354,0.731049800045701,0.282220435865001,1.89367509304855,-0.645115439370672,0.519250722611764,""
"Model 1: Demographics","income^4",0.0364940929045468,0.324992103973752,1.03716817734823,0.548542547908155,1.96104720081615,0.112292244821721,0.910651088545178,""
"Model 1: Demographics","driving_freq.L",0.117420354037928,0.435023181041887,1.12459205716039,0.479397543645874,2.63811801247458,0.269917464528453,0.787419278104241,""
"Model 1: Demographics","driving_freq.Q",0.0705795832010101,0.403999775379513,1.07312996915052,0.486139345742623,2.3688844377116,0.174702035749174,0.861436984814354,""
"Model 1: Demographics","driving_freq.C",0.204124669813817,0.377615084934452,1.22645104534899,0.585083388971941,2.57088509943967,0.540562805771517,0.5891893650326,""
"Model 2: Demo + Personality","(Intercept)",2.59231528808074,2.14379871411259,13.3606696196096,0.199981545022351,892.619829816837,1.20921580511061,0.227441251907566,""
"Model 2: Demo + Personality","age",-0.0331649246143979,0.0234108260881727,0.96737900182304,0.923993590782379,1.01280154159484,-1.41664905328365,0.157452552414299,""
"Model 2: Demo + Personality","sex",-0.153293514290334,0.288225144518513,0.857877885435677,0.487621983370272,1.50927253368056,-0.531853369512278,0.595160275568769,""
"Model 2: Demo + Personality","income.L",-0.361241067974814,0.867063961938333,0.696810999401635,0.127366511256941,3.81219179276723,-0.41662562836455,0.677196329871531,""
"Model 2: Demo + Personality","income.Q",0.0241912506693466,0.738044706930686,1.02448623283336,0.241140295729014,4.3525369249964,0.0327774868408053,0.973869990083651,""
"Model 2: Demo + Personality","income.C",-0.319003410070287,0.514445314984184,0.726873070613851,0.265188011435883,1.99233916315765,-0.620091972419059,0.535589953788718,""
"Model 2: Demo + Personality","income^4",-0.108654405180289,0.357057420678234,0.897040376442218,0.445531668317629,1.80611501760616,-0.304305131017578,0.761081760332217,""
