Model,term,Imp_OR_CI,Imp_p,Imp_sig,CC_OR_CI,CC_p,CC_sig,Sig_change
Model_1,(Intercept),"0.59 [0.01, 28.81]",0.7913,,NA,NA,NA,✓ Consistent
Model_1,BFI_Agreeableness,"1.15 [0.82, 1.62]",0.4149,,"1.08 [0.75, 1.57]",0.668,,✓ Consistent
Model_1,BFI_Conscientiousness,"0.97 [0.67, 1.39]",0.8541,,"0.88 [0.61, 1.27]",0.5007,,✓ Consistent
Model_1,BFI_Extraversion,"1.40 [1.04, 1.89]",0.0267,*,"1.50 [1.12, 2.00]",0.0067,**,✓ Consistent
Model_1,BFI_Neuroticism,"1.20 [0.88, 1.64]",0.2451,,"1.31 [0.94, 1.82]",0.1159,,✓ Consistent
Model_1,BFI_Openness,"1.12 [0.78, 1.62]",0.5328,,"1.12 [0.81, 1.56]",0.4873,,✓ Consistent
Model_1,CISS_Avoidance,"1.28 [0.77, 2.15]",0.3472,,"0.93 [0.47, 1.85]",0.8466,,✓ Consistent
Model_1,CISS_Emotion,"0.55 [0.27, 1.12]",0.1027,,"0.52 [0.24, 1.13]",0.1,,✓ Consistent
Model_1,CISS_Task,"0.89 [0.40, 1.97]",0.7736,,"1.27 [0.61, 2.64]",0.5263,,✓ Consistent
Model_1,DBAS_Consequences,"0.70 [0.56, 0.88]",0.002,**,"1.09 [0.89, 1.34]",0.3964,,⚠️  Lost significance in CC
Model_1,DBAS_Expectations,"1.11 [0.88, 1.41]",0.3721,,"1.05 [0.84, 1.30]",0.6912,,✓ Consistent
Model_1,DBAS_Medications,"0.87 [0.70, 1.10]",0.2505,,"0.85 [0.69, 1.05]",0.1257,,✓ Consistent
Model_1,DBAS_Worry_Helplessness,"1.15 [0.93, 1.42]",0.1908,,"0.84 [0.67, 1.06]",0.148,,✓ Consistent
Model_1,SURPS_Anxiety_Sensitivity,"1.07 [0.45, 2.56]",0.882,,"0.89 [0.38, 2.10]",0.7986,,✓ Consistent
