"Variable","Type","Continuer","Discontinuer","Test","p_value","Cohens_d","Cohens_d_95CI","Rank_Biserial","Rank_Biserial_95CI","Cramers_V","Cramers_V_95CI","q_value_domain","Significant_FDR","Effect_Interpretation"
"medburden_3","Categorical","1: 24 (7.9%); 2: 49 (16.1%); 3: 64 (21.1%); 4: 135 (44.4%); 5: 32 (10.5%)","1: 20 (21.5%); 2: 17 (18.3%); 3: 11 (11.8%); 4: 34 (36.6%); 5: 11 (11.8%)","Chi-square",0.00246796112844629,NA,NA,NA,NA,0.177260649618847,"[0, 1]",0.0765067949818351,FALSE,"Small"
"med_burden_1","Categorical","1: 43 (14.1%); 2: 111 (36.5%); 3: 79 (26%); 4: 56 (18.4%); 5: 15 (4.9%)","1: 26 (28%); 2: 28 (30.1%); 3: 20 (21.5%); 4: 17 (18.3%); 5: 2 (2.2%)","Fisher's Exact",0.0460953904609539,NA,NA,NA,NA,0.128161426893827,"[0, 1]",0.590467326216409,FALSE,"Small"
"med_quant","Continuous","6.68 (4.09)","5.56 (3.33)","Mann-Whitney U",0.0571419993112654,0.286703787576206,"[0.05, 0.52]",0.129739671760045,"[0, 0.26]",NA,NA,0.590467326216409,FALSE,"Small"
"melatonin_use","Categorical","0: 240 (78.9%); 1: 19 (6.2%); 2: 10 (3.3%); 3: 11 (3.6%); 4: 24 (7.9%)","0: 62 (66.7%); 1: 9 (9.7%); 2: 2 (2.2%); 3: 7 (7.5%); 4: 13 (14%)","Fisher's Exact",0.0801919808019198,NA,NA,NA,NA,0.102012966595836,"[0, 1]",0.61449563379699,FALSE,"Small"
"adls_2","Categorical","1: 138 (45.4%); 2: 128 (42%); 3: 27 (8.8%); 4: 7 (2.3%); 5: 4 (1.4%)","1: 43 (46.6%); 2: 33 (35.8%); 3: 8 (8.4%); 4: 5 (5.4%); 5: 3 (3.7%)","Fisher's Exact",0.124187581241876,NA,NA,NA,NA,0.0756352450980089,"[0, 1]",0.61449563379699,FALSE,"Negligible"
"side_effects_3","Categorical","1: 177 (58.4%); 2: 107 (35.3%); 3: 9 (3%); 4: 8 (2.8%); 5: 2 (0.6%)","1: 55 (58.7%); 2: 27 (28.8%); 3: 5 (4.9%); 4: 6 (6.1%); 5: 2 (1.9%)","Fisher's Exact",0.140585941405859,NA,NA,NA,NA,0.0723625267357354,"[0, 1]",0.61449563379699,FALSE,"Negligible"
"med_burden_4","Categorical","1: 14 (4.6%); 2: 8 (2.6%); 3: 51 (16.8%); 4: 174 (57.2%); 5: 57 (18.8%)","1: 7 (7.5%); 2: 5 (5.4%); 3: 12 (12.9%); 4: 45 (48.4%); 5: 24 (25.8%)","Fisher's Exact",0.165183481651835,NA,NA,NA,NA,0.0745306451231902,"[0, 1]",0.61449563379699,FALSE,"Negligible"
"gen_health","Categorical","Poor: 13 (4.3%); Fair: 58 (19.1%); Good: 106 (34.9%); Very good: 105 (34.5%); Excellent: 22 (7.2%)","Poor: 4 (4.3%); Fair: 15 (16.1%); Good: 28 (30.1%); Very good: 31 (33.3%); Excellent: 15 (16.1%)","Fisher's Exact",0.168483151684832,NA,NA,NA,NA,0.0852415323460722,"[0, 1]",0.61449563379699,FALSE,"Negligible"
"def_insomnia___1","Categorical","0: 94 (30.9%); 1: 210 (69.1%)","0: 36 (38.7%); 1: 57 (61.3%)","Chi-square",0.202549482508065,NA,NA,NA,NA,0.0492134302773953,"[0, 1]",0.61449563379699,FALSE,"Negligible"
"n_health_conditions","Continuous","5.65 (2.94)","5.42 (3.29)","Mann-Whitney U",0.222509202880317,0.075620167904194,"[-0.16, 0.31]",0.0830503678551217,"[-0.05, 0.21]",NA,NA,0.61449563379699,FALSE,"Negligible"
