"participant_id","consensus_cluster","agreement","imp_1","imp_2","imp_3","imp_4","imp_5","imp_6","imp_7","imp_8","imp_9","imp_10","imp_11","imp_12","imp_13","imp_14","imp_15","imp_16","imp_17","imp_18","imp_19","imp_20"
1,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
2,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
3,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
4,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
5,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
6,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
7,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
8,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
9,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
10,9,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,3,7,10,2,9,9,10
11,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
12,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
13,6,0.2,7,10,8,5,10,6,2,1,4,6,10,1,1,5,6,8,6,2,7,8
14,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
15,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
16,9,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,3,7,10,2,9,9,10
17,6,0.2,7,10,8,3,1,6,10,5,4,6,10,1,1,5,6,8,6,2,7,8
18,4,0.35,4,6,4,10,4,9,4,3,1,8,5,7,6,10,9,3,10,4,4,4
19,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
20,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
21,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
22,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
23,1,0.25,1,9,10,4,7,1,3,10,7,9,2,8,10,9,1,9,7,1,2,1
24,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
25,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
26,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
27,8,0.25,7,8,8,3,1,10,10,5,4,6,8,2,8,7,10,8,6,2,10,3
28,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
29,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
30,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
31,8,0.25,7,8,8,3,1,10,10,5,4,6,8,2,8,7,10,8,6,2,10,3
32,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
33,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
34,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
35,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
36,7,0.2,2,5,10,6,6,3,3,10,7,10,1,9,9,8,5,7,7,6,8,7
37,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
38,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
39,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
40,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
41,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
42,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
43,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
44,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
45,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
46,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
47,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
48,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
49,4,0.2,9,4,6,7,3,7,8,4,9,1,4,4,3,2,2,1,8,3,3,5
50,4,0.2,9,4,6,7,3,7,8,4,9,1,4,4,3,2,2,1,8,3,3,5
51,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
52,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
53,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
54,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
55,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
56,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
57,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
58,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
59,4,0.35,4,6,4,10,4,9,4,3,1,8,5,7,6,10,9,3,10,4,4,4
60,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
61,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
62,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
63,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
64,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
65,8,0.25,7,8,8,3,1,10,10,5,4,6,8,2,8,7,10,8,6,2,10,3
66,4,0.35,4,6,4,10,4,9,4,3,1,8,5,7,6,10,9,3,10,4,4,4
67,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
68,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
69,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
70,8,0.25,7,8,8,3,1,10,10,5,4,6,8,2,8,7,10,8,6,2,10,3
71,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
72,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
73,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
74,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
75,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
76,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
77,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
78,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
79,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
80,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
81,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
82,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
83,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
84,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
85,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
86,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
87,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
88,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
89,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
90,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
91,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
92,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
93,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
94,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
95,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
96,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
97,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
98,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
99,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
100,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
101,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
