Imputation,Apparent_AUC,CV_AUC,Optimism
1,0.6494765138653085,0.6038483305036786,0.04562818336162988
2,0.6407930107526881,0.6003820033955858,0.040411007357102346
3,0.6361771363893605,0.5901245048104131,0.046052631578947345
4,0.6459571307300509,0.6014431239388794,0.044514006791171457
5,0.6462577815506508,0.601407753254103,0.04485002829654783
6,0.6415888511601585,0.6008241369552915,0.04076471420486705
7,0.6599462365591398,0.6175721561969439,0.04237408036219581
8,0.62722835314091685,0.573323429541596,0.053904923599320864
9,0.6618916242218449,0.6227009054895303,0.03919071873231461
10,0.641624221844935,0.5982243916242218,0.04339983022071314
11,0.6529782116581777,0.6044850028296548,0.04849320882852293
12,0.6392543859649122,0.5961375212224108,0.043116864742501426
13,0.6505376344086021,0.607986700622524,0.042550933786078105
14,0.6429329371816639,0.5959960384833051,0.04693689869835882
15,0.6475488115449916,0.6020797962648556,0.045469015280135916
16,0.6443123938879457,0.5924589700056593,0.05185342388228642
17,0.6665605546123373,0.6240803621958121,0.04248019241652523
18,0.6545345217883418,0.6124434069043576,0.042091114883984204
19,0.6668612054329371,0.6317911714770797,0.035070033955857394
20,0.6442239671760045,0.5988787492925863,0.045345217883418165
