Imputation,Apparent_AUC,CV_AUC,Optimism
1,0.6435872948500283,0.6035653650254669,0.04002192982456143
2,0.6251591680814941,0.5675933786078099,0.05756578947368418
3,0.6489105829088851,0.6021859083191851,0.04672467458970009
4,0.6381048387096774,0.5936969439728353,0.044407894736842035
5,0.6419602433503113,0.5945812110922467,0.04737903225806461
6,0.6321979343520091,0.590265987549519,0.04193194680249013
7,0.6559493491794001,0.6213214487832485,0.0346279003961516
8,0.6253713921901528,0.5738893604980193,0.0514820316921335
9,0.6624752405206564,0.6254244482173175,0.037050792303338964
10,0.6437641482739106,0.6007357102433504,0.04302843803056022
11,0.6388829937747594,0.5884620826259196,0.05042091114883984
12,0.6370614035087719,0.5871887379739672,0.04987266553480474
13,0.6510858800226372,0.611771363893605,0.03931451612903225
14,0.6222587719298246,0.57038766270515,0.05187110922467464
15,0.6462224108658744,0.5980121675155631,0.04821024335031132
16,0.628943831352575,0.5742076966610073,0.054736134691567684
17,0.6690541878890776,0.6282187323146576,0.04083545557441992
18,0.6380871533672892,0.585703169213356,0.052383984153933194
19,0.6487337294850029,0.610144312393888,0.03858941709111485
20,0.6453911997736276,0.601407753254103,0.04398344651952457
