"Personality","Confounder","Interaction","p_value","Significant"
"BFI_Extraversion","age","BFI_Extraversion:age",0.617236832953633,FALSE
"BFI_Agreeableness","age","BFI_Agreeableness:age",0.0639253187390375,TRUE
"BFI_Conscientiousness","age","BFI_Conscientiousness:age",0.430611355938169,FALSE
"BFI_Neuroticism","age","BFI_Neuroticism:age",0.107279169495542,FALSE
"BFI_Openness","age","BFI_Openness:age",0.185141688176172,FALSE
"DBAS_Consequences","age","DBAS_Consequences:age",0.663823423092083,FALSE
"DBAS_Worry_Helplessness","age","DBAS_Worry_Helplessness:age",0.274645209694739,FALSE
"DBAS_Expectations","age","DBAS_Expectations:age",0.946067403147405,FALSE
"DBAS_Medications","age","DBAS_Medications:age",0.574596012388162,FALSE
"SURPS_Impulsivity","age","SURPS_Impulsivity:age",0.337018491860241,FALSE
"SURPS_Sensation_Seeking","age","SURPS_Sensation_Seeking:age",0.658027240244446,FALSE
"SURPS_Hopelessness","age","SURPS_Hopelessness:age",0.552483629575664,FALSE
"SURPS_Anxiety_Sensitivity","age","SURPS_Anxiety_Sensitivity:age",0.826172981168504,FALSE
"CISS_Task","age","CISS_Task:age",0.516904704999635,FALSE
"CISS_Emotion","age","CISS_Emotion:age",0.203863351169478,FALSE
"CISS_Avoidance","age","CISS_Avoidance:age",0.659195612136875,FALSE
"BFI_Extraversion","sex","BFI_Extraversion:sex",0.433748899820552,FALSE
"BFI_Agreeableness","sex","BFI_Agreeableness:sex",0.776235643610256,FALSE
"BFI_Conscientiousness","sex","BFI_Conscientiousness:sex",0.988663975907728,FALSE
"BFI_Neuroticism","sex","BFI_Neuroticism:sex",0.96697016505504,FALSE
"BFI_Openness","sex","BFI_Openness:sex",0.899012073360876,FALSE
"DBAS_Consequences","sex","DBAS_Consequences:sex",0.187500211387131,FALSE
"DBAS_Worry_Helplessness","sex","DBAS_Worry_Helplessness:sex",0.109449649601788,FALSE
"DBAS_Expectations","sex","DBAS_Expectations:sex",0.504943805002638,FALSE
"DBAS_Medications","sex","DBAS_Medications:sex",0.229863791764282,FALSE
"SURPS_Impulsivity","sex","SURPS_Impulsivity:sex",0.549363429135629,FALSE
"SURPS_Sensation_Seeking","sex","SURPS_Sensation_Seeking:sex",0.882812221964795,FALSE
"SURPS_Hopelessness","sex","SURPS_Hopelessness:sex",0.560974927882647,FALSE
"SURPS_Anxiety_Sensitivity","sex","SURPS_Anxiety_Sensitivity:sex",0.556862950141819,FALSE
"CISS_Task","sex","CISS_Task:sex",0.919385795444002,FALSE
"CISS_Emotion","sex","CISS_Emotion:sex",0.693718370798217,FALSE
"CISS_Avoidance","sex","CISS_Avoidance:sex",0.687173256001134,FALSE
"BFI_Extraversion","education_level_numeric","BFI_Extraversion:education_level_numeric",0.615624165159221,FALSE
"BFI_Agreeableness","education_level_numeric","BFI_Agreeableness:education_level_numeric",0.928039644833697,FALSE
"BFI_Conscientiousness","education_level_numeric","BFI_Conscientiousness:education_level_numeric",0.259616193607611,FALSE
"BFI_Neuroticism","education_level_numeric","BFI_Neuroticism:education_level_numeric",0.529616038151891,FALSE
"BFI_Openness","education_level_numeric","BFI_Openness:education_level_numeric",0.591627334323775,FALSE
"DBAS_Consequences","education_level_numeric","DBAS_Consequences:education_level_numeric",0.801096638124683,FALSE
"DBAS_Worry_Helplessness","education_level_numeric","DBAS_Worry_Helplessness:education_level_numeric",0.662347706103749,FALSE
