"Model","term","OR","CI_Lower","CI_Upper","p.value"
"Model 3","BFI_Extraversion",1.42215645599474,1.04839411378575,1.92916858148331,0.0247956276471906
"Model 3","BFI_Agreeableness",1.14081382646579,0.790794354686104,1.64575806458826,0.482106554627153
"Model 3","BFI_Conscientiousness",0.930039285994534,0.649517603585126,1.33171613628153,0.692582829252784
"Model 3","BFI_Neuroticism",1.08551798176853,0.772748681393874,1.52488036164272,0.636606777696201
"Model 3","BFI_Openness",1.14662615924837,0.811862796684097,1.61942578775937,0.438473569524302
"Model 3","DBAS_Consequences",1.05933136317693,0.875643023345561,1.28155299259142,0.553555073760247
"Model 3","DBAS_Worry_Helplessness",1.02134281623812,0.816777219398639,1.27714280406747,0.853271131755775
"Model 3","DBAS_Expectations",1.0198503894172,0.891885169794937,1.16617570514549,0.774101471408457
"Model 3","DBAS_Medications",0.674194394009891,0.564333012550675,0.805443011139718,2.49679138819214e-05
"Model 3","SURPS_Impulsivity",1.13869904900767,0.5759151484889,2.25143500325199,0.709149225030883
"Model 3","SURPS_Sensation_Seeking",1.06722687531052,0.597718625829861,1.90553406597249,0.826048166477184
"Model 3","SURPS_Hopelessness",0.81421162562574,0.363686844805127,1.82283351947836,0.617626196895341
"Model 3","SURPS_Anxiety_Sensitivity",0.792274955056552,0.4096478555681,1.53229071232258,0.489750415490545
"Model 3","CISS_Task",0.727983842294556,0.445864790135597,1.18861252641361,0.205579773418287
"Model 3","CISS_Emotion",0.863525387811262,0.54978394996993,1.35630750122002,0.524786047012857
"Model 3","CISS_Avoidance",1.10254011790932,0.711069398506055,1.70953034141738,0.663151092387409
"Model 3","age",0.971734481838856,0.927446098674792,1.01813777053338,0.229131721547849
"Model 3","sex",0.884569400601158,0.487731353485705,1.6042910075143,0.686611101126252
"Model 3","education_level_numeric",1.29736107473091,0.650034934552628,2.589315848671,0.460785298646958
"Model 3","phq2_score",0.990242865717807,0.789053179012307,1.2427311101293,0.932617743054581
"Model 3","osss_3_score",0.913632202050753,0.804761756719842,1.03723094897848,0.163784806865713
"Model 3","n_health_conditions",0.983627019719921,0.89287958346417,1.08359753301708,0.738369043869022
