model,term,estimate,std.error,OR,OR_lower,OR_upper,statistic,p.value,sig
Model 1,(Intercept),-0.6244919391864032,1.616463174837939,0.535533442969941,0.022533329338907483,12.727638433972503,-0.3863323018472182,0.699723743956311,
Model 1,DBAS_Medications,-0.18403526909289614,0.07372772458387312,0.831906462722943,0.7199729700476055,0.9612421459022815,-2.496147414444297,0.013280021585489328,*
Model 1,CISS_Emotion,-0.4400016288872428,0.26199882967878935,0.6440353720212856,0.385382344438117,1.0762858402850355,-1.6794030317871456,0.0946833372498953,.
Model 1,BFI_Extraversion,0.31443214280601606,0.1436788535982979,1.3694814202359706,1.0333661596827668,1.8149223707376723,2.1884371633776802,0.030066427626027188,*
Model 1,SURPS_Anxiety_Sensitivity,0.21432610528804724,0.34604498643492226,1.239026642058687,0.6288125570996155,2.441406429305807,0.6193590824595105,0.5362307891288096,
Model 1,SURPS_Hopelessness,-0.16877220386556824,0.3416878992586203,0.8447013011626218,0.4323670120807105,1.6502653260990052,-0.493936730659069,0.6219726782575591,
Model 1,BFI_Openness,0.15120366272493777,0.16968789127195671,1.163233541271618,0.834114493085908,1.6222140758318504,0.8910692542145243,0.37472805244697016,
Model 1,BFI_Neuroticism,0.1562486015773373,0.14452261885249382,1.169116811248917,0.8807198175557345,1.5519511325840454,1.0811359690126536,0.28065709006656187,
Model 1,BFI_Conscientiousness,-0.020833970794530532,0.1678278616401567,0.9793815570133013,0.7048455489962356,1.3608488208285772,-0.12413892777351292,0.9013601619500042,
Model 2,(Intercept),2.4751320656035407,2.369330980874984,11.883276381541295,0.11431966715198538,1235.2402791057702,1.0446544132426296,0.2971076839794091,
Model 2,DBAS_Medications,-0.18716933561743415,0.07441366190515249,0.8293032939094684,0.7167557779365005,0.959523417124129,-2.5152550059423207,0.012630076524105003,*
Model 2,CISS_Emotion,-0.4792377901233867,0.26929931073785285,0.6192552144099415,0.36528973741009513,1.0497886507646101,-1.7795730290223308,0.07678288468827824,.
Model 2,BFI_Extraversion,0.3073466788170255,0.14552763657249523,1.3598123044871808,1.022358804749219,1.8086502457308156,2.1119471603864013,0.03626685846468556,*
Model 2,SURPS_Anxiety_Sensitivity,0.19812679516953532,0.3476133017299252,1.2191169621640772,0.6168093634108099,2.4095713450547795,0.5699632153992428,0.5692149697030885,
Model 2,SURPS_Hopelessness,-0.18531835585690654,0.3431309815976583,0.8308397390475895,0.42407070533450963,1.6277820261981024,-0.5400805109292155,0.5898429286403375,
Model 2,BFI_Openness,0.16837194929797297,0.17444445651241658,1.183376684927274,0.8406842079136856,1.6657626790739524,0.9651894514973517,0.33661658440073317,
Model 2,BFI_Neuroticism,0.1305501032834172,0.14605169695700645,1.1394550289016294,0.8558062920762031,1.5171164022869845,0.8938622830369956,0.37225368192410513,
Model 2,BFI_Conscientiousness,-0.01586092598830358,0.17212776048031966,0.9842641961074354,0.7024146804057763,1.3792080871364565,-0.09214624035102721,0.9267090210844902,
Model 2,age,-0.036446505984197027,0.021793913719549876,0.9642096719641822,0.9238897091333425,1.0062892597660644,-1.672324964354763,0.0952853146565045,.
Model 2,sex,-0.14995494710948523,0.2704813576827628,0.8607467546808145,0.5065671395686465,1.4625602764609542,-0.5544003046796357,0.5796362283672523,
Model 3,(Intercept),1.5388304120857408,1.684643002744004,4.659137811768961,0.17151751774745155,126.5617963351023,0.9134459998820174,0.3616058557711461,
Model 3,BFI_Extraversion,0.28606409888658624,0.12506005733650513,1.3311777795311832,1.0417962497122761,1.700941312859374,2.287413783258229,0.023068389792848355,*
Model 3,DBAS_Medications,-0.17835372448008394,0.07087996275510967,0.836646428818526,0.72812797858196,0.9613382090027758,-2.516278473456542,0.012526619487638986,*
Model 3,age,-0.03182938701983688,0.02122184008026772,0.9686718359703023,0.9292065829488223,1.009813256837157,-1.4998410552265056,0.13447343731247188,
Model 3,sex,-0.22821817203147896,0.2625575862030535,0.7959505867343712,0.47576509665118,1.331617937049478,-0.8692118758853247,0.385270550918804,
