model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model 1,(Intercept),-0.6244919391864032,1.616463174837939,0.535533442969941,0.022533329338907483,12.727638433972503,"0.54 [0.02, 12.73]",-0.3863323018472182,0.699723743956311,
Model 1,DBAS_Medications,-0.18403526909289614,0.07372772458387312,0.831906462722943,0.7199729700476055,0.9612421459022815,"0.83 [0.72, 0.96]",-2.496147414444297,0.013280021585489328,*
Model 1,CISS_Emotion,-0.4400016288872428,0.26199882967878935,0.6440353720212856,0.385382344438117,1.0762858402850355,"0.64 [0.39, 1.08]",-1.6794030317871456,0.0946833372498953,.
Model 1,BFI_Extraversion,0.31443214280601606,0.1436788535982979,1.3694814202359706,1.0333661596827668,1.8149223707376723,"1.37 [1.03, 1.81]",2.1884371633776802,0.030066427626027188,*
Model 1,SURPS_Anxiety_Sensitivity,0.21432610528804724,0.34604498643492226,1.239026642058687,0.6288125570996155,2.441406429305807,"1.24 [0.63, 2.44]",0.6193590824595105,0.5362307891288096,
Model 1,SURPS_Hopelessness,-0.16877220386556824,0.3416878992586203,0.8447013011626218,0.4323670120807105,1.6502653260990052,"0.84 [0.43, 1.65]",-0.493936730659069,0.6219726782575591,
Model 1,BFI_Openness,0.15120366272493777,0.16968789127195671,1.163233541271618,0.834114493085908,1.6222140758318504,"1.16 [0.83, 1.62]",0.8910692542145243,0.37472805244697016,
Model 1,BFI_Neuroticism,0.1562486015773373,0.14452261885249382,1.169116811248917,0.8807198175557345,1.5519511325840454,"1.17 [0.88, 1.55]",1.0811359690126536,0.28065709006656187,
Model 1,BFI_Conscientiousness,-0.020833970794530532,0.1678278616401567,0.9793815570133013,0.7048455489962356,1.3608488208285772,"0.98 [0.70, 1.36]",-0.12413892777351292,0.9013601619500042,
Model 2,(Intercept),2.4751320656035407,2.369330980874984,11.883276381541295,0.11431966715198538,1235.2402791057702,"11.88 [0.11, 1235.24]",1.0446544132426296,0.2971076839794091,
Model 2,DBAS_Medications,-0.18716933561743415,0.07441366190515249,0.8293032939094684,0.7167557779365005,0.959523417124129,"0.83 [0.72, 0.96]",-2.5152550059423207,0.012630076524105003,*
Model 2,CISS_Emotion,-0.4792377901233867,0.26929931073785285,0.6192552144099415,0.36528973741009513,1.0497886507646101,"0.62 [0.37, 1.05]",-1.7795730290223308,0.07678288468827824,.
Model 2,BFI_Extraversion,0.3073466788170255,0.14552763657249523,1.3598123044871808,1.022358804749219,1.8086502457308156,"1.36 [1.02, 1.81]",2.1119471603864013,0.03626685846468556,*
Model 2,SURPS_Anxiety_Sensitivity,0.19812679516953532,0.3476133017299252,1.2191169621640772,0.6168093634108099,2.4095713450547795,"1.22 [0.62, 2.41]",0.5699632153992428,0.5692149697030885,
Model 2,SURPS_Hopelessness,-0.18531835585690654,0.3431309815976583,0.8308397390475895,0.42407070533450963,1.6277820261981024,"0.83 [0.42, 1.63]",-0.5400805109292155,0.5898429286403375,
Model 2,BFI_Openness,0.16837194929797297,0.17444445651241658,1.183376684927274,0.8406842079136856,1.6657626790739524,"1.18 [0.84, 1.67]",0.9651894514973517,0.33661658440073317,
Model 2,BFI_Neuroticism,0.1305501032834172,0.14605169695700645,1.1394550289016294,0.8558062920762031,1.5171164022869845,"1.14 [0.86, 1.52]",0.8938622830369956,0.37225368192410513,
Model 2,BFI_Conscientiousness,-0.01586092598830358,0.17212776048031966,0.9842641961074354,0.7024146804057763,1.3792080871364565,"0.98 [0.70, 1.38]",-0.09214624035102721,0.9267090210844902,
Model 2,age,-0.036446505984197027,0.021793913719549876,0.9642096719641822,0.9238897091333425,1.0062892597660644,"0.96 [0.92, 1.01]",-1.672324964354763,0.0952853146565045,.
Model 2,sex,-0.14995494710948523,0.2704813576827628,0.8607467546808145,0.5065671395686465,1.4625602764609542,"0.86 [0.51, 1.46]",-0.5544003046796357,0.5796362283672523,
Model 3,(Intercept),0.03454262379679156,1.0687882461093912,1.0351461492949243,0.12741798980177238,8.4095468156978,"1.04 [0.13, 8.41]",0.032319427091880744,0.9742449695440234,
Model 3,DBAS_Medications,-0.16807035718244612,0.07049057954739499,0.8452943600629382,0.7362158762813941,0.9705340215742777,"0.85 [0.74, 0.97]",-2.384295295365567,0.01783953452314706,*
Model 3,CISS_Emotion,-0.3587227293449776,0.24812054882043222,0.6985680169130715,0.42954060363855456,1.1360911404419785,"0.70 [0.43, 1.14]",-1.4457598576593087,0.14975609233189058,
Model 3,BFI_Extraversion,0.32671808382794076,0.13002474398857491,1.386410570520493,1.0745152026814413,1.7888385992625262,"1.39 [1.07, 1.79]",2.512737759027228,0.012779285702166809,*
Model 3,BFI_Conscientiousness,-0.01766555387080318,0.15795325090100767,0.9824895672493699,0.7209006646231223,1.338999666838278,"0.98 [0.72, 1.34]",-0.11184039435740718,0.9110883008984039,
Model 4,(Intercept),3.016581641761311,1.970524805682695,20.421364694286332,0.4292795342005669,971.4698762746038,"20.42 [0.43, 971.47]",1.5308518994848208,0.1267598490410371,
Model 4,DBAS_Medications,-0.17533974648017508,0.07158014939996156,0.8391718666439408,0.7293242639869744,0.965564230534435,"0.84 [0.73, 0.97]",-2.4495582637086426,0.015026692766702963,*
Model 4,CISS_Emotion,-0.38882694801625056,0.256101720644633,0.6778515634224879,0.41033297264477264,1.119780209405905,"0.68 [0.41, 1.12]",-1.518251993924661,0.13059590746695557,
Model 4,BFI_Extraversion,0.3222216204474399,0.1314840822396882,1.380190620528163,1.066639251680395,1.7859141654433537,"1.38 [1.07, 1.79]",2.450651173577405,0.015142991069410978,*
Model 4,BFI_Conscientiousness,-0.0064814114465501105,0.16184354259879818,0.9935395475947828,0.7234710446410172,1.3644234139662772,"0.99 [0.72, 1.36]",-0.040047389858594455,0.9681089483412109,
Model 4,age,-0.03581157330479235,0.021436513286292414,0.964822074591357,0.9251243303194447,1.0062232773592037,"0.96 [0.93, 1.01]",-1.6705876010018883,0.09562172291284855,.
Model 4,sex,-0.1874446038352333,0.26545162701731295,0.8290750444860864,0.49276159955043647,1.3949249089553921,"0.83 [0.49, 1.39]",-0.7061346955805549,0.4805339931031333,
