"Interaction","P_Value","AUC_mean","Significant"
"Age × BFI_Neuroticism",0.0495596135536234,0.765288388983211,"YES"
"Age × BFI_Openness",0.0703254141558276,0.759567770232032,"NO"
"Sex × DBAS_Medications",0.0911716800748883,0.758016176193171,"NO"
"Sex × DBAS_Consequences",0.141637720565596,0.754890586681758,"NO"
"Age × BFI_Extraversion",0.216214118896213,0.752677560837578,"NO"
"Sex × BFI_Extraversion",0.247464294561604,0.75255965855499,"NO"
"Age × CISS_Emotion",0.268910697404861,0.754378890775325,"NO"
"Sex × CISS_Emotion",0.297180180400214,0.754022825881909,"NO"
"Sex × SURPS_Anxiety_Sensitivity",0.563801543315981,0.752019666100736,"NO"
"Age × DBAS_Consequences",0.572185060985297,0.752566732691945,"NO"
"Age × DBAS_Medications",0.576932787686504,0.752368656857197,"NO"
"Age × SURPS_Hopelessness",0.668795603120195,0.752088049424637,"NO"
"Sex × BFI_Neuroticism",0.682792528733261,0.751394784003018,"NO"
"Sex × BFI_Openness",0.693320819197017,0.751333474816072,"NO"
"Age × SURPS_Anxiety_Sensitivity",0.702612253214401,0.752101018675722,"NO"
"Sex × SURPS_Hopelessness",0.821802775974662,0.751400679117148,"NO"
