"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 1","(Intercept)",-0.525290170645572,1.98257953633337,0.591383737266623,0.01214125572325,28.8054821243663,-0.264952886388132,0.791335820295821,""
"Model 1","BFI_Extraversion",0.338589218816888,0.15134076991948,1.4029669144184,1.04285412970899,1.88743191102091,2.23726375250392,0.0267315624915493,"*"
"Model 1","BFI_Agreeableness",0.142376352603412,0.174250074286298,1.15301050539577,0.819423861989656,1.62239994125262,0.817080584823642,0.414906450082211,""
"Model 1","BFI_Conscientiousness",-0.0338043197786558,0.183451807787448,0.96676066207006,0.674779125565903,1.38508460370987,-0.184268120256533,0.854076450393748,""
"Model 1","BFI_Neuroticism",0.185179164540771,0.158963702045753,1.20343403351974,0.881271355930838,1.6433683714863,1.16491477084166,0.245099872551424,""
"Model 1","BFI_Openness",0.116393227694206,0.1859280902295,1.12343755204535,0.780339787499929,1.61738764774412,0.62601206493616,0.532772636899203,""
"Model 1","DBAS_Consequences",-0.352218999283367,0.11260696801681,0.70312612099729,0.563871631791424,0.876771084330003,-3.12786149459941,0.00203841379876819,"**"
"Model 1","DBAS_Worry_Helplessness",0.141459627017107,0.107489065633054,1.15195399550301,0.93312235838752,1.42210503888093,1.31603736793119,0.190836173103382,""
"Model 1","DBAS_Expectations",0.108401337617936,0.121048610422183,1.11449494438776,0.879102358905788,1.41291735653161,0.895519058334196,0.372058684092539,""
"Model 1","DBAS_Medications",-0.133727819806033,0.115963243174919,0.874828143095415,0.696968002714014,1.09807663618929,-1.15319144363976,0.250492642101615,""
"Model 1","SURPS_Impulsivity",-0.0860608960482228,0.393985197837031,0.917538355058934,0.423893987790406,1.98605466756589,-0.218436876615403,0.827330567737294,""
"Model 1","SURPS_Sensation_Seeking",0.281627279681302,0.372625124570319,1.32528466739719,0.638446137794549,2.75102212334675,0.755792514007346,0.450632533639681,""
"Model 1","SURPS_Hopelessness",-0.276832968587217,0.370801859712249,0.758181126599384,0.366555765029854,1.56821601396637,-0.746579234532551,0.456340781969272,""
"Model 1","SURPS_Anxiety_Sensitivity",0.0663685127057908,0.446644127074226,1.0686204448263,0.445279111598207,2.5645704578462,0.148593720778425,0.881989333653485,""
"Model 1","CISS_Task",-0.117162946765626,0.406721725349434,0.889440249942772,0.400782044867186,1.9739006982721,-0.288066605404385,0.77360743860018,""
"Model 1","CISS_Emotion",-0.600611036048275,0.36592792728353,0.548476394833339,0.267715675614191,1.12367852573154,-1.64133697175539,0.102722129285049,""
"Model 1","CISS_Avoidance",0.248257828750565,0.263144697009018,1.28179037200385,0.765285909257105,2.14689247232669,0.943427063407843,0.34722206683896,""
"Model 2","(Intercept)",-3.93324039296892,342.786106290777,0.0195801223540567,3.20915806392835e-294,1.19464726810775e+290,-0.0114743285121144,0.990851332543898,""
"Model 2","BFI_Extraversion",0.353863954166182,0.165324869991599,1.42456136765698,1.03027649604838,1.96973831588353,2.14041574134711,0.0341580695783032,"*"
"Model 2","BFI_Agreeableness",0.153720787770825,0.188542462819549,1.1661652337229,0.80587838145526,1.68752678274879,0.815311232663535,0.416122369680551,""
"Model 2","BFI_Conscientiousness",-0.0416538097928429,0.194886680226131,0.959201789366238,0.654664948627041,1.40540298461519,-0.213733487298933,0.831101997992237,""
"Model 2","BFI_Neuroticism",0.193187602328808,0.166810933739945,1.21311035450057,0.874798392449786,1.68225815787719,1.15812313975763,0.247936819312259,""
"Model 2","BFI_Openness",0.143911350971214,0.200074921395365,1.15478173370811,0.780176194078373,1.70925601502262,0.719287304813345,0.473897564359845,""
"Model 2","DBAS_Consequences",-0.361010775251786,0.117367201320008,0.696971488383136,0.55374527530543,0.877243160857793,-3.07590852633072,0.00240416718894849,"**"
"Model 2","DBAS_Worry_Helplessness",0.132530276973926,0.117026155644565,1.14171358319828,0.907700329822055,1.43605754369946,1.13248424033044,0.26036456389062,""
