"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 1","(Intercept)",-0.624491939186403,1.61646317483794,0.535533442969941,0.0225333293389075,12.7276384339725,-0.386332301847218,0.699723743956311,""
"Model 1","DBAS_Medications",-0.184035269092896,0.0737277245838731,0.831906462722943,0.719972970047606,0.961242145902282,-2.4961474144443,0.0132800215854893,"*"
"Model 1","CISS_Emotion",-0.440001628887243,0.261998829678789,0.644035372021286,0.385382344438117,1.07628584028504,-1.67940303178715,0.0946833372498953,"."
"Model 1","BFI_Extraversion",0.314432142806016,0.143678853598298,1.36948142023597,1.03336615968277,1.81492237073767,2.18843716337768,0.0300664276260272,"*"
"Model 1","SURPS_Anxiety_Sensitivity",0.214326105288047,0.346044986434922,1.23902664205869,0.628812557099615,2.44140642930581,0.619359082459511,0.53623078912881,""
"Model 1","SURPS_Hopelessness",-0.168772203865568,0.34168789925862,0.844701301162622,0.43236701208071,1.65026532609901,-0.493936730659069,0.621972678257559,""
"Model 1","BFI_Openness",0.151203662724938,0.169687891271957,1.16323354127162,0.834114493085908,1.62221407583185,0.891069254214524,0.37472805244697,""
"Model 1","BFI_Neuroticism",0.156248601577337,0.144522618852494,1.16911681124892,0.880719817555734,1.55195113258405,1.08113596901265,0.280657090066562,""
"Model 1","BFI_Conscientiousness",-0.0208339707945305,0.167827861640157,0.979381557013301,0.704845548996236,1.36084882082858,-0.124138927773513,0.901360161950004,""
"Model 2","(Intercept)",2.47513206560354,2.36933098087498,11.8832763815413,0.114319667151985,1235.24027910577,1.04465441324263,0.297107683979409,""
"Model 2","DBAS_Medications",-0.187169335617434,0.0744136619051525,0.829303293909468,0.7167557779365,0.959523417124129,-2.51525500594232,0.012630076524105,"*"
"Model 2","CISS_Emotion",-0.479237790123387,0.269299310737853,0.619255214409941,0.365289737410095,1.04978865076461,-1.77957302902233,0.0767828846882782,"."
"Model 2","BFI_Extraversion",0.307346678817025,0.145527636572495,1.35981230448718,1.02235880474922,1.80865024573082,2.1119471603864,0.0362668584646856,"*"
"Model 2","SURPS_Anxiety_Sensitivity",0.198126795169535,0.347613301729925,1.21911696216408,0.61680936341081,2.40957134505478,0.569963215399243,0.569214969703088,""
"Model 2","SURPS_Hopelessness",-0.185318355856907,0.343130981597658,0.830839739047589,0.42407070533451,1.6277820261981,-0.540080510929215,0.589842928640337,""
"Model 2","BFI_Openness",0.168371949297973,0.174444456512417,1.18337668492727,0.840684207913686,1.66576267907395,0.965189451497352,0.336616584400733,""
"Model 2","BFI_Neuroticism",0.130550103283417,0.146051696957006,1.13945502890163,0.855806292076203,1.51711640228698,0.893862283036996,0.372253681924105,""
"Model 2","BFI_Conscientiousness",-0.0158609259883036,0.17212776048032,0.984264196107435,0.702414680405776,1.37920808713646,-0.0921462403510272,0.92670902108449,""
"Model 2","age",-0.036446505984197,0.0217939137195499,0.964209671964182,0.923889709133342,1.00628925976606,-1.67232496435476,0.0952853146565045,"."
"Model 2","sex",-0.149954947109485,0.270481357682763,0.860746754680815,0.506567139568647,1.46256027646095,-0.554400304679636,0.579636228367252,""
"Model 3","(Intercept)",-0.336905490563563,166.791161575315,0.713976314213276,7.55406719824063e-143,6.74818166002449e+141,-0.00201992412176728,0.998389394846917,""
"Model 3","DBAS_Medications",-0.188331274528446,0.0757233195813117,0.828340253748513,0.714088067145403,0.960872485550774,-2.48709744329441,0.0136671798291934,"*"
"Model 3","CISS_Emotion",-0.486635826981885,0.272468459779037,0.614690846009417,0.360351978133382,1.04854381020746,-1.78602627025723,0.0757590317979474,"."
"Model 3","BFI_Extraversion",0.317327875205271,0.146149322159377,1.373452819234,1.03135678641921,1.82902044326595,2.17125793343894,0.0313668461291178,"*"
"Model 3","SURPS_Anxiety_Sensitivity",0.22732016936364,0.354422669257178,1.25523169034275,0.626661809671539,2.5142853324133,0.641381573701459,0.521917980967652,""
"Model 3","SURPS_Hopelessness",-0.202311286024379,0.345613851371007,0.816840617294306,0.414901376197271,1.6081619207368,-0.585367991536902,0.559070346664768,""
"Model 3","BFI_Openness",0.176422925103047,0.177952432666014,1.19294247729764,0.841672880730132,1.69081336315185,0.991404964011718,0.323725783014999,""
"Model 3","BFI_Neuroticism",0.137973063769021,0.147702919929605,1.14794462855606,0.85939668989685,1.53337438428914,0.934125498905361,0.351162721203124,""
"Model 3","BFI_Conscientiousness",-0.0196461192799889,0.173857874523471,0.980545608102166,0.697392043683976,1.37866455213552,-0.113001032215752,0.910186678916675,""
"Model 3","age",-0.0393312612048898,0.0221296930005716,0.961432171210194,0.920622267846122,1.00405112077134,-1.77730713227128,0.0763297198593791,"."
"Model 3","sex",-0.129645089221565,0.27491135949675,0.878407131763212,0.512491397316071,1.50558447063376,-0.471588694839281,0.637497295683585,""
"Model 3","education.L",4.48036639177083,263.693285634234,88.2670070567857,3.05873761383216e-223,2.54715033402365e+226,0.016990824703764,0.986452853305392,""
"Model 3","education.Q",4.50130769944981,222.861545601548,90.1349236553096,1.78367492976218e-188,4.55481227368683e+191,0.020197776549112,0.983896203168927,""
"Model 3","education.C",-9.9847792929301,527.384016203324,4.6096234476751e-05,0,Inf,-0.0189326543584147,0.984904767087354,""
"Model 3","education^4",7.0729536444384,398.664817717489,1179.62709277092,0,Inf,0.0177416048020836,0.985854301967773,""
"Model 4","(Intercept)",0.138080780254255,162.074835859366,1.14806828777664,1.25626788441722e-138,1.04918768500544e+138,0.00085195693410462,0.999320688644061,""
"Model 4","DBAS_Medications",-0.1861331735835,0.0816119886604419,0.830163031834213,0.707446924001502,0.974165885867515,-2.28070871251444,0.0240387893373536,"*"
"Model 4","CISS_Emotion",-0.487026458723262,0.289842162650589,0.614450775146534,0.348151657224113,1.08444049380221,-1.68031612195215,0.0951258441793667,"."
"Model 4","BFI_Extraversion",0.332764850860678,0.158128471133847,1.39481926935274,1.02309571683722,1.90160193434496,2.10439554923042,0.0375150305205482,"*"
"Model 4","SURPS_Anxiety_Sensitivity",0.115169021218037,0.368552280574736,1.12206307401268,0.544877953075286,2.31065605601558,0.31249032305115,0.755006310793142,""
"Model 4","SURPS_Hopelessness",-0.348089888772662,0.3709307096893,0.706035408705574,0.341258822354494,1.46072706606316,-0.938422944447576,0.349619092764061,""
"Model 4","BFI_Openness",0.182988097292383,0.193526665434824,1.20080011522309,0.821745808656683,1.75470431553148,0.945544619813695,0.347283572756563,""
"Model 4","BFI_Neuroticism",0.122036900070521,0.157591238843308,1.1297957905555,0.829574858527069,1.53866587835518,0.774388861755583,0.439690664981905,""
"Model 4","BFI_Conscientiousness",-0.0206430243659864,0.185784481848506,0.979568584279321,0.680599937470744,1.40986585287225,-0.111112748280124,0.911720499401509,""
"Model 4","age",-0.0374745942694655,0.0230244352224972,0.963218888689501,0.920717071209384,1.00768266011356,-1.62760102071251,0.104477366096767,""
"Model 4","sex",-0.106773787001571,0.285194271273057,0.898728954168514,0.513885624510055,1.57177724874268,-0.374389662614721,0.70833384168703,""
"Model 4","education.L",4.53938727649419,256.233059841722,93.6334111475437,7.26853796741438e-217,1.20618695567523e+220,0.0177158532130796,0.985874930891962,""
"Model 4","education.Q",4.53443907245533,216.556509997851,93.1712383300466,4.29199429082284e-183,2.02257483671765e+186,0.0209388259558686,0.983305562368639,""
"Model 4","education.C",-10.0077160127003,512.463357710157,4.50509713429653e-05,0,Inf,-0.01952864699911,0.984429743629225,""
"Model 4","education^4",7.0690089084089,387.385859743666,1174.98294127483,0,Inf,0.0182479786770908,0.985450707198313,""
"Model 4","side_effects_1.L",0.96556611356698,0.39216999450642,2.6262740050587,1.21763800944947,5.66450381486166,2.4621111433633,0.014946288903838,"*"
"Model 4","side_effects_1.Q",0.467276833470041,0.397986802389482,1.59564306968811,0.731412780634403,3.48103953506978,1.17410132864845,0.242369175527931,""
"Model 4","side_effects_1.C",-0.208558412108444,0.283100591792749,0.811753617077365,0.466062482129249,1.41385320660813,-0.736693663505741,0.461910008821476,""
"Model 4","side_effects_1^4",0.114819231885124,0.385256508736852,1.12167065695419,0.527142944524053,2.38672465550685,0.298033204582536,0.766054874084788,""
