"Variable","Type","Continuer","Discontinuer","Test","p_value","Cohens_d","Cohens_d_95CI","Rank_Biserial","Rank_Biserial_95CI","Cramers_V","Cramers_V_95CI","q_value_domain","Significant_FDR","Effect_Interpretation"
"DBAS_Medications","Continuous","5.9 (1.85)","4.6 (2.2)","Mann-Whitney U",3.32827120125855e-07,0.67422161315793,"[0.44, 0.91]",0.345408885116016,"[0.22, 0.46]",NA,NA,3.99392544151026e-06,TRUE,"Medium"
"DBAS_Total","Continuous","5.94 (1.54)","5.51 (1.59)","Mann-Whitney U",0.0192401798682685,0.280684204991481,"[0.05, 0.51]",0.157234484059611,"[0.02, 0.28]",NA,NA,0.115441079209611,FALSE,"Small"
"DBAS_Worry_Helplessness","Continuous","6.1 (1.82)","5.79 (1.85)","Mann-Whitney U",0.154928049971587,0.169286029217238,"[-0.06, 0.4]",0.0953805885681947,"[-0.04, 0.23]",NA,NA,0.619712199886347,FALSE,"Negligible"
"SURPS_Sensation_Seeking","Continuous","2.01 (0.53)","2.08 (0.52)","Mann-Whitney U",0.215812600922792,-0.138134793093723,"[-0.37, 0.09]",-0.0876839275608376,"[-0.22, 0.05]",NA,NA,0.647437802768375,FALSE,"Negligible"
"CISS_Emotion","Continuous","2.84 (0.82)","2.74 (0.81)","Mann-Whitney U",0.313559394200974,0.121078662723082,"[-0.11, 0.35]",0.0650077815506508,"[-0.07, 0.2]",NA,NA,0.64856594972336,FALSE,"Negligible"
"DBAS_Consequences","Continuous","5.69 (2.15)","5.45 (2.11)","Mann-Whitney U",0.32428297486168,0.114493715250502,"[-0.12, 0.35]",0.0665853140916808,"[-0.07, 0.2]",NA,NA,0.64856594972336,FALSE,"Negligible"
"SURPS_Hopelessness","Continuous","2.06 (0.49)","2 (0.53)","Mann-Whitney U",0.425705718360247,0.118474142312928,"[-0.11, 0.35]",0.0525502263723826,"[-0.08, 0.18]",NA,NA,0.693646710225242,FALSE,"Negligible"
"SURPS_Impulsivity","Continuous","2.04 (0.51)","2.09 (0.52)","Mann-Whitney U",0.462431140150161,-0.0956435990929357,"[-0.33, 0.14]",-0.0551841633654028,"[-0.19, 0.08]",NA,NA,0.693646710225242,FALSE,"Negligible"
"SURPS_Anxiety_Sensitivity","Continuous","2.62 (0.5)","2.55 (0.55)","Mann-Whitney U",0.529103711758557,0.129065329238349,"[-0.1, 0.36]",0.0425308903980381,"[-0.09, 0.17]",NA,NA,0.705471615678076,FALSE,"Negligible"
"CISS_Task","Continuous","3.65 (0.7)","3.6 (0.68)","Mann-Whitney U",0.640505259917035,0.0680521912361344,"[-0.16, 0.3]",0.0344121392190153,"[-0.1, 0.17]",NA,NA,0.768606311900442,FALSE,"Negligible"
"CISS_Avoidance","Continuous","2.82 (0.76)","2.85 (0.75)","Mann-Whitney U",0.730648318309106,-0.0403872363775677,"[-0.27, 0.19]",-0.024870307489153,"[-0.16, 0.11]",NA,NA,0.797070892700843,FALSE,"Negligible"
"DBAS_Expectations","Continuous","6.14 (2.39)","6.16 (2.36)","Mann-Whitney U",0.806384604694342,-0.00822728022837831,"[-0.24, 0.22]",-0.0140421618562535,"[-0.15, 0.12]",NA,NA,0.806384604694342,FALSE,"Negligible"
