"Analysis","AUC","Difference","Assessment","Details"
"Complete-Case",0.611764705882353,-0.0535130718954248,"Concerning","n=333, 22 predictors"
"Without BFI_Extraversion",0.686574074074074,0.0212962962962964,"Robust",""
"Without BFI_Agreeableness",0.646759259259259,-0.0185185185185185,"Robust",""
"Without BFI_Conscientiousness",0.633333333333333,-0.0319444444444444,"Acceptable",""
"Without BFI_Neuroticism",0.618981481481481,-0.0462962962962963,"Acceptable",""
"Without BFI_Openness",0.665277777777778,0,"Robust",""
"Logistic Regression",0.69537037037037,0.0300925925925927,"Robust","Alternative algorithm"
"XGBoost",0.654351395730706,-0.0109263820470716,"Robust","Alternative algorithm"
"Without Extreme Cases",NA,NA,"No extreme cases","No multivariate outliers (3+ extreme values)"
"Age 65-74",0.757142857142857,0.0918650793650794,"Consistent","n=238"
"Age 75+",0.78,0.114722222222222,"Consistent","n=159"
"Sex 0",0.603070175438597,-0.0622076023391812,"Consistent","n=255"
"Sex 1",0.654545454545455,-0.0107323232323232,"Consistent","n=142"
"With Interactions",0.69537037037037,0.0300925925925927,"Interactions improve model","6 interactions"
"Big Five Only",0.664351851851852,-0.000925925925925886,"Sufficient","n=397"
"DBAS+SURPS+CISS Only",0.643981481481481,-0.0212962962962963,"Sufficient","n=397"
