"Measure","Subscale","N_Items","Alpha","raw_alpha","raw_alpha.1","Mean_r","Mean","SD","Range_Min","Range_Max","Floor_Pct","Ceiling_Pct","N_Cases","Status","Notes"
"BFI-10","Extraversion",2,0.477562864354742,0.363634979389162,0.571094337587522,0.314739675918749,3.15994962216625,1.04639013789695,1,5,3.5264483627204,10.3274559193955,397,"POOR RELIABILITY","2-item scale; α = 0.478 (< .60)"
"BFI-10","Agreeableness",2,0.378320138995423,0.242750389340338,0.489618952405943,0.234882657510697,3.70528967254408,0.944172573048012,1,5,1.51133501259446,14.3576826196474,397,"POOR RELIABILITY","2-item scale; α = 0.378 (< .60)"
"BFI-10","Conscientiousness",2,0.476886499140422,0.362811119188222,0.570539061458611,0.318093184659599,4.09949622166247,0.932466994086893,1,5,0.755667506297229,34.0050377833753,397,"POOR RELIABILITY","2-item scale; α = 0.477 (< .60); Ceiling effect (34.0%)"
"BFI-10","Neuroticism",2,0.552630411393458,0.455072509111273,0.632722605931338,0.381874319044273,2.94836272040302,1.07095661449093,1,5,6.80100755667506,4.53400503778338,397,"POOR RELIABILITY","2-item scale; α = 0.553 (< .60)"
"BFI-10","Openness",2,0.197548327912017,0.0225576629104506,0.341210563935491,0.113286942918869,3.51133501259446,0.953063895548612,1,5,1.00755667506297,10.0755667506297,397,"POOR RELIABILITY","2-item scale; α = 0.198 (< .60); Low inter-item r (0.113)"
"SURPS","Impulsivity",5,0.69603418107341,0.64605980850297,0.74087366902338,0.313711304853958,2.04130982367758,0.50242472397548,1,3.8,3.5264483627204,0,397,"ACCEPTABLE","α = 0.696 (< .70)"
"SURPS","Sensation_Seeking",6,0.64532582169824,0.588414215439119,0.696766585248901,0.233923245195721,2.03904282115869,0.535051820614683,1,3.83333333333333,2.01511335012594,0,397,"ACCEPTABLE","α = 0.645 (< .70)"
"SURPS","Hopelessness",7,0.827370396380664,0.80013005244958,0.852116774639954,0.412988338279192,2.02159050017992,0.499171235945671,1,3.85714285714286,1.7632241813602,0,397,"GOOD","No issues"
"SURPS","Anxiety_Sensitivity",5,0.650348808758909,0.592863401476979,0.701927569922624,0.271658896390832,2.61209068010076,0.505779638045468,1,4,0.503778337531486,0.503778337531486,397,"ACCEPTABLE","α = 0.650 (< .70)"
"DBAS-16","Consequences",5,0.816143833481124,0.785916432921965,0.843265357842855,0.478356161401757,5.56977329974811,2.18204176440519,0,10,0.251889168765743,1.25944584382872,397,"GOOD","No issues"
"DBAS-16","Worry_Helplessness",6,0.729745018351936,0.686379456249936,0.768941902308676,0.30992900560356,6.02938706968934,1.84400889022493,1.66666666666667,9.66666666666667,0,0,397,"GOOD","No issues"
"DBAS-16","Expectations",2,0.345909478633105,0.203271935106789,0.46301074482752,0.215523598208311,6.19017632241814,2.29205461600968,0,10,0.755667506297229,6.29722921914358,397,"POOR RELIABILITY","2-item scale; α = 0.346 (< .60)"
"DBAS-16","Medications",3,0.455933289505896,0.356191752362011,0.542481807143518,0.209097940491407,5.6255247691016,2.00034734224701,0,10,0.251889168765743,0.503778337531486,397,"POOR RELIABILITY","α = 0.456 (< .60)"
"DBAS-16","Total",16,0.840826883444649,0.817011075872256,0.862809721229965,0.250078650590159,5.8301322418136,1.55897456771951,1.6875,9.5,0,0,397,"GOOD","No issues"
"CISS","Task",7,0.831976715706285,0.805463232754173,0.856062780102685,0.416992294782533,3.67830154731918,0.667238896465019,1.14285714285714,5,0,2.26700251889169,397,"GOOD","No issues"
"CISS","Emotion",7,0.827671897751593,0.800479129675795,0.852375055921082,0.407704796655445,2.79525008996042,0.81635395639568,1,5,0.755667506297229,0.503778337531486,397,"GOOD","No issues"
"CISS","Avoidance",7,0.715139030243046,0.670188971701335,0.755973725805795,0.263497592125658,2.83015473191796,0.745730347718113,1,4.57142857142857,1.00755667506297,0,397,"GOOD","No issues"
