"variable","n_missing","n_complete","pct_missing","pct_complete"
"dependence_composite",134,263,33.8,66.2
"side_effects_4",133,264,33.5,66.5
"safety_1",133,264,33.5,66.5
"safety_2",133,264,33.5,66.5
"safety_3",133,264,33.5,66.5
"safety_4",133,264,33.5,66.5
"adl_composite",133,264,33.5,66.5
"side_effects_2",128,269,32.2,67.8
"side_effects_3",128,269,32.2,67.8
"side_effects_1",127,270,32,68
"ciss_total",63,334,15.9,84.1
"surps_total",60,337,15.1,84.9
"dbas_total",59,338,14.9,85.1
"driving_freq",35,362,8.8,91.2
"income",9,388,2.3,97.7
"gender",3,394,0.8,99.2
"age",0,397,0,100
"sex",0,397,0,100
"prov_terr",0,397,0,100
"education",0,397,0,100
"employment",0,397,0,100
"phq2_score",0,397,0,100
"osss_3_score",0,397,0,100
"med_quant",0,397,0,100
"mobil_aid",0,397,0,100
"fall",0,397,0,100
"n_health_conditions",0,397,0,100
"n_physical_conditions",0,397,0,100
"n_ment_conditions",0,397,0,100
"n_sleep_conditions",0,397,0,100
"def_insomnia___1",0,397,0,100
"def_insomnia___2",0,397,0,100
"def_insomnia___3",0,397,0,100
"alc_sleep",0,397,0,100
"can_sleep",0,397,0,100
"melatonin_use",0,397,0,100
"op_sleep",0,397,0,100
"quet_use",0,397,0,100
"traz_use",0,397,0,100
"otc_use",0,397,0,100
