Predictor,VIF,Flag
DBAS_Medications,1.2743139769064886,✓
CISS_Emotion,1.2051117920000378,✓
BFI_Extraversion,1.3027654648705906,✓
SURPS_Anxiety_Sensitivity,1.4637359702406127,✓
SURPS_Hopelessness,1.649838786093496,✓
BFI_Openness,1.133940424932788,✓
BFI_Neuroticism,1.4483400353008788,✓
BFI_Conscientiousness,1.1116865556810067,✓
age,1.0993747041464008,✓
sex,1.126193966376379,✓
education,1.2613694475319024,✓
income,1.3580576672255946,✓
employment,1.0662859006698875,✓
driving_freq,1.2752230290476,✓
side_effects_1,1.1401710773788254,✓
